var_name,sensor_X,sensor_Y,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Wavelength_nm,Slope,Slope_log,Bias,Error,RMSE,MSA,MAPE
RHOW,S3_all,TRIOS,13,13,13,13,400,0.11,0.2,-16.63,16.63,0.009598,0.007281,16.9
RHOW,TRIOS,S3_all,13,13,13,13,412,0.83,1.08,10.7,12.35,0.00813,0.005748,18.11
RHOW,S3_all,TRIOS,13,13,13,13,412,0.13,0.22,-10.7,12.35,0.00813,0.005748,13.83
RHOW,TRIOS,S3_all,13,13,13,13,442,0.64,0.83,7.1,7.81,0.006569,0.00446,16
RHOW,S3_all,TRIOS,13,13,13,13,442,0.1,0.17,-7.1,7.81,0.006569,0.00446,12.21
RHOW,TRIOS,S3_all,13,13,13,13,490,0.01,0.14,4.52,4.65,0.004941,0.003011,16.6
RHOW,S3_all,TRIOS,13,13,13,13,490,0,0.01,-4.52,4.65,0.004941,0.003011,11.87
RHOW,TRIOS,S3_all,13,13,13,13,510,-1.61,-1.14,1.55,7.7,0.004315,0.002496,24.48
RHOW,S3_all,TRIOS,13,13,13,13,510,-0.02,-0.03,-1.55,7.7,0.004315,0.002496,15.31
RHOW,TRIOS,S3_all,13,13,13,13,560,-1.29,-0.71,-0.84,7.22,0.003468,0.001872,46.34
RHOW,S3_all,TRIOS,13,13,13,13,560,-0.02,-0.03,0.84,7.22,0.003468,0.001872,20.27
RHOW,TRIOS,S3_all,13,13,13,13,620,-0.36,0.08,24.72,48.38,0.002536,0.001474,258.46
RHOW,S3_all,TRIOS,13,13,13,13,620,-0.02,0.02,-24.72,48.38,0.002536,0.001474,69.98
RHOW,TRIOS,S3_all,13,13,13,12,665,-0.53,0.28,32.49,179.81,0.002037,0.001245,450.39
RHOW,S3_all,TRIOS,13,13,13,12,665,-0.03,0.07,-32.49,179.81,0.002037,0.001245,167.63
RHOW,TRIOS,S3_all,13,13,13,13,673,-0.3,0.27,26.41,133.04,0.00185,0.001058,427.97
RHOW,S3_all,TRIOS,13,13,13,13,673,-0.02,0.09,-26.41,133.04,0.00185,0.001058,112.52
RHOW,TRIOS,S3_all,13,13,13,13,681,-0.33,0.47,-1.6,135.97,0.001778,0.001031,386.05
RHOW,S3_all,TRIOS,13,13,13,13,681,-0.02,0.1,1.6,135.97,0.001778,0.001031,189.37
RHOW,HYPERPRO,S3_all,5,5,5,5,400,1.67,1.87,2.5,4.41,0.007365,0.004705,14.23
RHOW,S3_all,HYPERPRO,5,5,5,5,400,0.27,0.32,-2.5,4.41,0.007365,0.004705,12.31
RHOW,HYPERPRO,S3_all,5,5,5,5,412,1.58,1.75,1.55,3.04,0.006557,0.004104,12.82
RHOW,S3_all,HYPERPRO,5,5,5,5,412,0.29,0.35,-1.55,3.04,0.006557,0.004104,11.13
RHOW,HYPERPRO,S3_all,5,5,5,5,442,1.53,1.63,0.34,3.27,0.00531,0.003167,11.14
RHOW,S3_all,HYPERPRO,5,5,5,5,442,0.26,0.33,-0.34,3.27,0.00531,0.003167,9.26
RHOW,HYPERPRO,S3_all,5,5,5,5,490,1.85,1.99,-1.86,3.35,0.004211,0.002513,13.28
RHOW,S3_all,HYPERPRO,5,5,5,5,490,0.06,0.09,1.86,3.35,0.004211,0.002513,10.43
RHOW,HYPERPRO,S3_all,5,5,5,5,510,-10.59,-8.28,-8.59,14.72,0.003781,0.002605,23.52
RHOW,S3_all,HYPERPRO,5,5,5,5,510,-0.02,-0.02,8.59,14.72,0.003781,0.002605,18.87
RHOW,HYPERPRO,S3_all,5,5,5,5,560,-13.54,-9.13,-12.5,21.07,0.003048,0.001839,40.96
RHOW,S3_all,HYPERPRO,5,5,5,5,560,-0.02,-0.04,12.5,21.07,0.003048,0.001839,24.77
RHOW,HYPERPRO,S3_all,5,5,5,5,620,NA,NA,-31.56,32.61,0.002191,0.001208,128.16
RHOW,S3_all,HYPERPRO,5,5,5,5,620,-0,-0,31.56,32.61,0.002191,0.001208,58.89
RHOW,HYPERPRO,S3_all,5,5,5,5,665,-27.21,-11.43,-61.96,103.21,0.001733,0.001022,199.82
RHOW,S3_all,HYPERPRO,5,5,5,5,665,-0.03,-0.07,61.96,103.21,0.001733,0.001022,225.07
RHOW,HYPERPRO,S3_all,5,5,5,5,673,-5.53,-1.81,-83.57,106.82,0.001706,9.5e-4,278.45
RHOW,S3_all,HYPERPRO,5,5,5,5,673,-0.05,-0.13,83.57,106.82,0.001706,9.5e-4,104.46
RHOW,HYPERPRO,S3_all,5,5,5,5,681,-5.79,-0.77,-47.83,90.34,0.00162,8.56e-4,262.64
RHOW,S3_all,HYPERPRO,5,5,5,5,681,-0.02,-0.02,47.83,90.34,0.00162,8.56e-4,123.63
RHOW,HYPERNETS,VIIRS_N,33,33,33,33,410,0.83,0.81,3.49,13.16,0.005603,0.004336,14.57
RHOW,VIIRS_N,HYPERNETS,33,33,33,33,410,0.6,0.59,-3.49,13.16,0.005603,0.004336,13.02
